methodName,time
URL: /petclinic/owners.html()V,719
doFilter(Ljavax/servlet/ServletRequest;Ljavax/servlet/ServletResponse;Ljavax/servlet/FilterChain;)V,7223434
doFilter(Ljavax/servlet/ServletRequest;Ljavax/servlet/ServletResponse;)V,3702
doFilter(Ljavax/servlet/ServletRequest;Ljavax/servlet/ServletResponse;Ljavax/servlet/FilterChain;)V,468
doFilter(Ljavax/servlet/ServletRequest;Ljavax/servlet/ServletResponse;)V,11133170098
nullSafeGet(Ljava/sql/ResultSet;[Ljava/lang/String;Lorg/hibernate/engine/spi/SessionImplementor;Ljava/lang/Object;)Ljava/lang/Object;,365350069
fromNonNullValue(Ljava/lang/Object;)Ljava/lang/Object;,66816103
fromNonNullValue(Ljava/sql/Timestamp;)Lorg/joda/time/DateTime;,192971283
<init>(J)V,52156899
<init>(J)V,150340276
<init>(JLorg/joda/time/Chronology;)V,224875360
set(JI)J,130554142
set(JI)J,99231066
setYear(JI)J,158589525
getYearMonthDayMillis(III)J,50154685
getYearMillis(I)J,62399239
getYearInfo(I)Lorg/joda/time/chrono/BasicChronology$YearInfo;,56565652
getTotalMillisByYearMonth(II)J,52469287
isLeapYear(I)Z,33635413
getYear(J)I,81626876
getYearMillis(I)J,67497219
getYearInfo(I)Lorg/joda/time/chrono/BasicChronology$YearInfo;,30744302
getApproxMillisAtEpochDividedByTwo()J,22221721
getAverageMillisPerYearDividedByTwo()J,6559671
getDayOfYear(JI)I,59613808
getYearMillis(I)J,53586124
getYearInfo(I)Lorg/joda/time/chrono/BasicChronology$YearInfo;,26075994
isLeapYear(I)Z,93789999
getMillisOfDay(J)I,9632898
verifyValueBounds(Lorg/joda/time/DateTimeField;III)V,54313304
getMaxYear()I,43820198
getMinYear()I,29430926
get(J)I,76297816
get(J)I,73019587
getYear(J)I,97991298
getYearMillis(I)J,68108057
getYearInfo(I)Lorg/joda/time/chrono/BasicChronology$YearInfo;,38702076
getAverageMillisPerYearDividedByTwo()J,32050212
getApproxMillisAtEpochDividedByTwo()J,22582904
convertUTCToLocal(J)J,48164627
getOffset(J)I,115568672
getOffset(J)I,47177885
getOffset(J)I,24357880
getInfo(J)Lorg/joda/time/tz/CachedDateTimeZone$Info;,24020171
convertLocalToUTC(JZJ)J,67223089
getOffset(J)I,183034959
getOffset(J)I,99599681
getOffset(J)I,47612771
getInfo(J)Lorg/joda/time/tz/CachedDateTimeZone$Info;,42891023
convertUTCToLocal(J)J,50651518
getOffset(J)I,50251254
getOffset(J)I,48075035
getOffset(J)I,34430656
getInfo(J)Lorg/joda/time/tz/CachedDateTimeZone$Info;,41886810
get(J)I,62041036
get(J)I,59264791
getYear(J)I,72935661
getYearMillis(I)J,118541801
getYearInfo(I)Lorg/joda/time/chrono/BasicChronology$YearInfo;,38401644
calculateFirstDayOfYearMillis(I)J,7
<init>(IJ)V,2
getAverageMillisPerYearDividedByTwo()J,41988435
getApproxMillisAtEpochDividedByTwo()J,20880485
convertUTCToLocal(J)J,73569455
getOffset(J)I,61800724
